account_id,customer_id,product_type,open_date,status
1,1,CreditCard,2018-10-31,Closed
2,2,Mortgage,2017-11-14,Open
3,3,CreditCard,2018-04-25,Open
4,4,Loan,2018-05-30,Closed
5,5,Mortgage,2017-10-28,Dormant
6,6,Savings,2018-03-05,Closed
7,6,Loan,2018-03-28,Open
8,7,Savings,2019-04-02,Open
9,8,CreditCard,2018-08-24,Open
10,9,Loan,2018-02-16,Open
11,10,Savings,2018-05-14,Open
12,11,CreditCard,2018-12-09,Open
13,11,Mortgage,2018-08-16,Open
14,12,Savings,2017-10-19,Closed
15,13,Loan,2018-10-17,Dormant
16,13,Mortgage,2019-01-13,Open
17,14,Chequing,2018-01-26,Dormant
18,14,Chequing,2017-11-26,Open
19,15,Savings,2018-09-06,Dormant
20,15,CreditCard,2018-09-05,Open
21,16,Chequing,2018-04-29,Open
22,17,Loan,2018-05-13,Open
23,18,Loan,2018-07-25,Open
24,19,CreditCard,2018-09-22,Open
25,20,Mortgage,2018-02-03,Closed
26,21,Chequing,2018-09-20,Open
27,21,CreditCard,2019-01-02,Open
28,22,Chequing,2018-10-01,Open
29,23,Loan,2019-02-19,Open
30,24,Savings,2018-01-11,Dormant
31,24,Mortgage,2018-02-16,Open
32,25,Chequing,2018-06-06,Open
33,26,CreditCard,2018-05-13,Closed
34,27,Savings,2019-08-25,Open
35,27,Savings,2019-06-19,Dormant
36,28,Savings,2018-10-26,Dormant
37,29,Mortgage,2018-01-25,Open
38,30,Loan,2018-06-16,Closed
39,31,Loan,2018-06-02,Closed
40,32,Savings,2017-12-10,Open
41,33,Mortgage,2018-09-14,Open
42,33,Mortgage,2018-08-20,Dormant
43,33,Mortgage,2018-06-29,Open
44,34,Chequing,2018-06-21,Closed
45,35,Chequing,2018-05-10,Open
46,36,Mortgage,2018-07-04,Closed
47,37,Savings,2017-12-18,Closed
48,37,Mortgage,2017-08-26,Open
49,38,Savings,2018-03-14,Open
50,39,Mortgage,2018-06-21,Dormant
51,39,Chequing,2018-07-30,Open
52,40,Mortgage,2018-02-11,Dormant
53,40,Chequing,2018-05-06,Closed
54,41,Loan,2019-08-29,Open
55,42,Loan,2018-03-11,Open
56,42,Mortgage,2018-05-21,Dormant
57,43,Loan,2018-07-11,Closed
58,43,Chequing,2018-10-24,Closed
59,44,Loan,2018-05-01,Open
60,45,Chequing,2019-01-06,Dormant
61,46,CreditCard,2018-06-08,Open
62,47,Savings,2018-12-27,Closed
63,48,Chequing,2018-09-07,Open
64,49,Loan,2018-09-06,Open
65,50,Chequing,2019-07-26,Closed
66,50,Chequing,2019-06-14,Open
67,51,Loan,2017-11-08,Open
68,52,CreditCard,2018-10-08,Dormant
69,53,Savings,2018-02-09,Open
70,54,Loan,2018-04-12,Open
71,55,Loan,2018-06-17,Dormant
72,56,Loan,2018-06-12,Dormant
73,57,Chequing,2018-06-29,Closed
74,57,Savings,2018-06-01,Open
75,58,Chequing,2018-02-16,Open
76,58,Mortgage,2018-04-20,Dormant
77,59,Mortgage,2018-02-11,Open
78,60,Savings,2017-12-06,Open
79,61,Chequing,2018-09-02,Open
80,61,Loan,2018-08-28,Closed
81,62,Loan,2018-01-20,Closed
82,62,Loan,2018-04-12,Open
83,63,Savings,2018-08-28,Dormant
84,64,CreditCard,2018-01-26,Open
85,65,CreditCard,2018-06-13,Open
86,66,Chequing,2018-03-18,Open
87,66,Loan,2018-06-17,Closed
88,67,Chequing,2018-03-09,Open
89,68,Savings,2020-04-19,Open
90,69,Chequing,2018-02-06,Closed
91,70,Chequing,2018-03-22,Dormant
92,71,Mortgage,2019-04-30,Open
93,72,Savings,2018-01-12,Open
94,72,Loan,2018-01-26,Dormant
95,73,Savings,2018-02-28,Closed
96,73,Savings,2018-07-06,Open
97,73,Savings,2018-03-21,Closed
98,74,CreditCard,2018-05-23,Open
99,75,Mortgage,2017-11-20,Open
100,76,Mortgage,2020-02-21,Closed
101,77,CreditCard,2019-03-07,Open
102,78,CreditCard,2018-04-10,Open
103,79,Mortgage,2018-02-21,Open
104,79,Loan,2018-03-19,Open
105,80,CreditCard,2018-04-03,Open
106,81,Mortgage,2018-11-08,Closed
107,81,Savings,2018-11-02,Dormant
108,81,Mortgage,2018-11-20,Dormant
109,82,Chequing,2018-12-06,Open
110,82,Loan,2018-06-30,Closed
111,83,CreditCard,2018-06-24,Dormant
112,84,Loan,2018-02-14,Open
113,85,CreditCard,2018-08-28,Dormant
114,86,Savings,2018-01-16,Closed
115,87,Loan,2017-11-10,Open
116,88,Savings,2017-12-24,Open
117,89,Savings,2018-03-14,Dormant
118,90,Chequing,2018-01-20,Closed
119,90,Loan,2018-03-09,Dormant
120,91,Mortgage,2018-11-02,Closed
121,91,Savings,2018-08-26,Dormant
122,92,Savings,2019-01-15,Open
123,93,Savings,2019-01-10,Open
124,94,Chequing,2021-02-06,Dormant
125,95,CreditCard,2018-08-22,Open
126,96,Mortgage,2018-04-02,Open
127,97,Chequing,2019-03-24,Open
128,98,Loan,2018-04-11,Closed
129,99,Mortgage,2018-09-13,Open
130,100,Chequing,2018-03-18,Open
131,101,Mortgage,2018-08-07,Closed
132,101,Savings,2018-07-31,Dormant
133,102,Savings,2018-06-24,Open
134,102,CreditCard,2018-08-30,Open
135,103,Savings,2018-03-25,Open
136,103,Chequing,2018-02-13,Dormant
137,104,Savings,2019-05-28,Closed
138,105,Savings,2017-11-26,Dormant
139,105,Savings,2018-03-12,Closed
140,106,CreditCard,2018-01-20,Open
141,107,Loan,2018-08-30,Dormant
142,108,Mortgage,2019-02-24,Open
143,108,CreditCard,2019-06-24,Open
144,109,CreditCard,2018-06-28,Closed
145,110,Loan,2018-11-24,Dormant
146,111,Chequing,2018-05-24,Dormant
147,112,CreditCard,2019-07-23,Open
148,112,CreditCard,2019-05-28,Open
149,113,Loan,2018-11-14,Open
150,114,Mortgage,2018-01-20,Open
151,114,Savings,2018-02-17,Open
152,114,CreditCard,2018-04-11,Closed
153,115,Mortgage,2018-09-22,Closed
154,115,Loan,2018-04-03,Open
155,116,Savings,2018-05-15,Open
156,117,CreditCard,2018-11-17,Open
157,117,Loan,2018-08-13,Closed
158,118,Savings,2018-03-25,Dormant
159,119,Mortgage,2018-04-20,Open
160,120,CreditCard,2018-05-31,Dormant
161,120,Loan,2018-03-21,Dormant
162,121,Savings,2018-06-18,Open
163,121,Savings,2018-06-06,Open
164,122,Mortgage,2019-10-01,Dormant
165,122,Savings,2019-06-23,Closed
166,123,Chequing,2018-08-06,Closed
167,124,Chequing,2018-04-12,Open
168,125,Chequing,2018-09-06,Open
169,125,Loan,2018-09-11,Open
170,126,Savings,2018-02-05,Open
171,127,Savings,2018-04-29,Open
172,127,Savings,2018-06-23,Closed
173,128,Loan,2020-03-27,Open
174,128,Chequing,2020-07-18,Closed
175,129,Mortgage,2018-12-30,Dormant
176,130,Loan,2019-03-30,Open
177,131,Chequing,2018-09-15,Closed
178,132,Mortgage,2018-10-09,Dormant
179,133,Chequing,2018-07-31,Open
180,134,Mortgage,2018-12-28,Open
181,135,Mortgage,2018-07-23,Open
182,136,Chequing,2019-07-13,Closed
183,136,Loan,2019-02-24,Open
184,137,Chequing,2018-04-15,Open
185,138,Mortgage,2018-03-14,Open
186,139,Savings,2018-06-18,Open
187,140,Mortgage,2018-10-22,Closed
188,141,CreditCard,2018-06-14,Open
189,141,CreditCard,2018-06-25,Dormant
190,142,Chequing,2018-07-30,Open
191,143,Loan,2018-03-11,Dormant
192,144,Mortgage,2018-03-02,Open
193,145,Savings,2018-03-16,Open
194,146,Chequing,2018-02-09,Open
195,147,Chequing,2018-04-09,Dormant
196,147,Loan,2018-01-25,Dormant
197,148,Mortgage,2018-01-27,Dormant
198,148,Chequing,2017-12-02,Open
199,149,Savings,2017-11-25,Open
200,149,Loan,2017-12-20,Dormant
201,150,CreditCard,2019-08-19,Closed
202,151,Chequing,2018-12-25,Closed
203,152,Chequing,2018-03-29,Open
204,153,Savings,2017-10-20,Closed
205,153,Loan,2018-03-06,Open
206,154,Chequing,2018-04-07,Open
207,155,CreditCard,2018-07-25,Closed
208,155,Mortgage,2018-08-09,Open
209,156,Savings,2018-03-09,Open
210,157,Chequing,2018-10-21,Open
211,158,Mortgage,2018-09-11,Open
212,159,Loan,2018-09-10,Open
213,159,CreditCard,2018-07-02,Open
214,160,Mortgage,2018-02-20,Open
215,160,Mortgage,2018-04-27,Dormant
216,161,Mortgage,2018-09-30,Open
217,161,Loan,2018-08-12,Open
218,162,Chequing,2018-10-27,Closed
219,162,CreditCard,2018-07-23,Open
220,163,Chequing,2018-05-02,Dormant
221,163,Savings,2018-01-25,Open
222,164,CreditCard,2018-02-27,Closed
223,164,Mortgage,2018-03-03,Closed
224,165,Loan,2018-08-30,Open
225,165,Chequing,2018-11-05,Open
226,166,Loan,2018-07-17,Dormant
227,167,Savings,2019-02-15,Open
228,168,Mortgage,2017-11-18,Dormant
229,168,Loan,2018-01-04,Open
230,169,Mortgage,2018-08-06,Dormant
231,170,Chequing,2018-07-08,Closed
232,171,CreditCard,2018-12-15,Open
233,172,Chequing,2019-04-29,Open
234,173,CreditCard,2020-01-13,Open
235,174,Loan,2018-01-21,Open
236,175,Loan,2018-07-31,Open
237,175,CreditCard,2018-12-12,Open
238,176,Chequing,2017-12-05,Open
239,177,CreditCard,2019-03-09,Dormant
240,178,CreditCard,2018-10-24,Open
241,179,Chequing,2018-08-12,Open
242,179,Chequing,2018-10-08,Open
243,180,Loan,2018-11-08,Dormant
244,181,Mortgage,2018-04-30,Closed
245,182,Mortgage,2018-04-09,Dormant
246,182,Chequing,2018-01-30,Open
247,183,Chequing,2018-10-06,Open
248,184,Mortgage,2018-06-16,Open
249,184,Mortgage,2018-06-09,Closed
250,184,CreditCard,2018-09-26,Dormant
251,185,Chequing,2018-08-03,Open
252,185,Loan,2018-05-23,Dormant
253,186,Chequing,2018-01-11,Closed
254,186,Savings,2018-01-30,Closed
255,187,Mortgage,2018-06-21,Open
256,188,Loan,2019-08-15,Open
257,189,Savings,2018-02-26,Open
258,190,CreditCard,2019-02-01,Open
259,191,Loan,2018-03-26,Open
260,192,Chequing,2017-12-29,Open
261,193,Loan,2018-02-26,Open
262,193,Loan,2018-02-12,Open
263,193,Loan,2018-04-09,Open
264,194,CreditCard,2018-08-18,Open
265,195,Savings,2018-12-10,Dormant
266,195,Mortgage,2018-10-28,Closed
267,196,Savings,2018-03-27,Dormant
268,197,Chequing,2019-01-28,Open
269,197,CreditCard,2019-03-06,Open
270,198,Loan,2017-12-29,Open
271,199,Mortgage,2018-08-12,Dormant
272,199,CreditCard,2018-07-01,Dormant
273,200,CreditCard,2018-02-11,Dormant
274,201,Mortgage,2019-04-17,Open
275,202,CreditCard,2018-03-06,Open
276,203,Mortgage,2018-04-09,Open
277,204,Loan,2018-06-30,Open
278,205,Savings,2018-03-11,Dormant
279,205,CreditCard,2018-02-01,Open
280,206,Loan,2018-07-24,Closed
281,207,Savings,2018-11-26,Open
282,208,Loan,2018-07-14,Open
283,209,Loan,2018-04-01,Open
284,210,Chequing,2018-10-10,Closed
285,211,Savings,2018-08-03,Closed
286,212,Mortgage,2017-12-29,Open
287,212,Mortgage,2018-03-02,Open
288,213,Loan,2018-02-18,Open
289,214,Loan,2018-02-21,Open
290,215,Chequing,2018-06-02,Dormant
291,216,Loan,2018-05-20,Open
292,217,CreditCard,2019-01-23,Open
293,218,CreditCard,2018-01-13,Open
294,218,Loan,2017-12-21,Dormant
295,219,Chequing,2019-05-15,Dormant
296,219,Mortgage,2019-06-05,Dormant
297,220,Mortgage,2019-09-20,Dormant
298,221,Mortgage,2019-08-30,Closed
299,221,Loan,2019-07-04,Closed
300,222,Chequing,2018-04-19,Open
301,223,Mortgage,2018-06-08,Closed
302,223,Chequing,2018-05-20,Open
303,224,Savings,2018-09-30,Open
304,225,Savings,2018-06-19,Closed
305,226,Chequing,2018-01-11,Closed
306,227,Loan,2020-03-21,Open
307,227,Loan,2019-12-22,Open
308,228,Chequing,2019-08-13,Open
309,228,CreditCard,2019-05-25,Open
310,229,Mortgage,2018-03-07,Closed
311,229,Mortgage,2018-06-23,Closed
312,230,Mortgage,2018-01-03,Open
313,231,Loan,2018-03-09,Open
