session_id,customer_id,device_type,start_ts,duration_s,events_count,conv_flag
1,1,Web,2025-07-30 03:55:38.652040,183,13,0
2,1,Android,2025-08-15 05:55:38.652040,1447,27,0
3,1,Web,2025-06-18 05:55:38.652040,875,46,0
4,1,Web,2025-07-11 05:55:38.652040,112,4,0
5,1,Web,2025-08-15 15:55:38.652040,904,21,0
6,1,Android,2025-05-20 15:55:38.652040,490,34,0
7,1,Android,2025-05-27 00:55:38.652040,679,11,0
8,1,Web,2025-07-25 21:55:38.652040,1001,27,0
9,1,Android,2025-06-27 22:55:38.652040,1428,13,0
10,1,Android,2025-08-05 13:55:38.652040,589,47,1
11,1,iOS,2025-06-12 04:55:38.652040,587,5,0
12,1,iOS,2025-06-06 01:55:38.652040,1124,11,1
13,1,iOS,2025-06-19 17:55:38.652040,373,8,0
14,1,Android,2025-07-26 16:55:38.652040,540,42,0
15,1,Android,2025-07-15 19:55:38.652040,1668,10,0
16,1,iOS,2025-07-22 02:55:38.652040,1019,37,0
17,1,Web,2025-07-03 16:55:38.652040,1746,10,0
18,2,iOS,2025-07-21 22:55:38.652040,1655,15,0
19,2,Android,2025-06-03 15:55:38.652040,169,11,0
20,2,Android,2025-07-24 06:55:38.652040,1482,34,0
21,2,Android,2025-07-21 08:55:38.652040,853,42,1
22,2,iOS,2025-08-02 04:55:38.652040,1367,20,0
23,2,Web,2025-06-14 13:55:38.652040,512,5,0
24,2,Android,2025-08-06 01:55:38.652040,302,23,1
25,2,Android,2025-05-22 12:55:38.652040,832,4,0
26,2,iOS,2025-06-30 17:55:38.652040,643,27,0
27,2,Android,2025-07-22 10:55:38.652040,1453,11,0
28,2,Web,2025-06-17 05:55:38.652040,181,20,1
29,2,Android,2025-07-28 05:55:38.652040,1438,10,1
30,2,Android,2025-07-17 09:55:38.652040,1262,15,0
31,2,iOS,2025-06-03 11:55:38.652040,1148,41,0
32,3,iOS,2025-07-12 21:55:38.652040,1764,43,1
33,3,Android,2025-06-14 09:55:38.652040,723,21,1
34,3,iOS,2025-07-15 13:55:38.652040,1377,34,0
35,3,iOS,2025-06-20 14:55:38.652040,1256,32,0
36,3,Web,2025-06-13 16:55:38.652040,788,13,0
37,3,iOS,2025-06-13 06:55:38.652040,557,42,0
38,3,iOS,2025-07-15 20:55:38.652040,1067,26,0
39,3,iOS,2025-08-13 10:55:38.652040,1334,18,0
40,3,iOS,2025-08-15 11:55:38.652040,856,9,0
41,3,iOS,2025-06-25 09:55:38.652040,578,7,0
42,3,Web,2025-07-26 19:55:38.652040,1049,43,0
43,3,Web,2025-07-13 09:55:38.652040,228,42,0
44,3,Web,2025-07-07 12:55:38.652040,516,5,0
45,3,iOS,2025-06-24 08:55:38.652040,564,31,0
46,3,iOS,2025-06-13 14:55:38.652040,975,20,1
47,3,iOS,2025-08-08 04:55:38.652040,1346,48,1
48,3,iOS,2025-06-01 07:55:38.652040,232,28,0
49,3,Web,2025-07-25 04:55:38.652040,787,23,0
50,3,Android,2025-08-02 15:55:38.652040,979,45,0
51,4,Android,2025-07-13 21:55:38.652040,847,43,0
52,4,Web,2025-05-25 12:55:38.652040,63,38,1
53,4,Android,2025-07-31 10:55:38.652040,99,44,0
54,4,Web,2025-07-25 05:55:38.652040,714,9,0
55,4,Web,2025-08-12 13:55:38.652040,1437,4,0
56,4,Web,2025-07-15 16:55:38.652040,774,17,0
57,4,iOS,2025-08-02 04:55:38.652040,101,40,0
58,4,Android,2025-07-31 14:55:38.652040,668,9,1
59,4,iOS,2025-06-28 17:55:38.652040,395,16,0
60,4,iOS,2025-06-22 15:55:38.652040,1504,23,0
61,4,Web,2025-07-27 02:55:38.652040,759,33,0
62,4,Android,2025-06-21 01:55:38.652040,1087,37,0
63,4,Web,2025-06-22 02:55:38.652040,1019,44,1
64,4,Web,2025-05-29 03:55:38.652040,860,46,1
65,4,Web,2025-07-16 19:55:38.652040,877,15,0
66,4,Android,2025-06-18 21:55:38.652040,906,22,0
67,4,iOS,2025-06-12 22:55:38.652040,134,46,0
68,4,Web,2025-05-28 14:55:38.652040,1124,3,0
69,4,iOS,2025-07-06 10:55:38.652040,232,20,0
70,4,iOS,2025-07-05 13:55:38.652040,160,35,0
71,4,Web,2025-07-05 11:55:38.652040,1037,43,0
72,4,iOS,2025-06-19 23:55:38.652040,695,13,0
73,4,Web,2025-08-04 19:55:38.652040,589,25,1
74,4,Android,2025-07-27 17:55:38.652040,1200,16,0
75,4,Web,2025-05-19 13:55:38.652040,555,29,0
76,5,Android,2025-07-04 12:55:38.652040,1146,22,1
77,5,Web,2025-07-24 07:55:38.652040,96,11,0
78,5,iOS,2025-06-21 15:55:38.652040,1515,14,0
79,5,iOS,2025-07-17 11:55:38.652040,648,41,0
80,5,iOS,2025-06-09 16:55:38.652040,497,28,1
81,5,Web,2025-07-29 12:55:38.652040,1137,12,0
82,5,Web,2025-07-23 11:55:38.652040,38,44,1
83,5,iOS,2025-08-10 00:55:38.652040,1540,29,0
84,5,iOS,2025-07-12 12:55:38.652040,899,24,0
85,5,Android,2025-07-14 21:55:38.652040,1313,12,0
86,5,Web,2025-07-08 22:55:38.652040,961,12,0
87,5,Android,2025-07-18 03:55:38.652040,906,39,0
88,5,iOS,2025-06-08 06:55:38.652040,1640,14,0
89,5,iOS,2025-06-04 07:55:38.652040,42,37,1
90,5,Web,2025-07-22 18:55:38.652040,1621,13,0
91,5,Web,2025-05-20 04:55:38.652040,1170,10,0
92,5,Web,2025-07-19 08:55:38.652040,1530,47,0
93,5,Android,2025-07-16 10:55:38.652040,1052,46,0
94,5,Web,2025-07-15 23:55:38.652040,1605,27,0
95,5,iOS,2025-07-08 11:55:38.652040,406,44,0
96,5,Android,2025-05-23 04:55:38.652040,1106,34,1
97,5,Web,2025-06-16 22:55:38.652040,1574,3,0
98,5,iOS,2025-06-16 08:55:38.652040,1608,12,0
99,5,Web,2025-06-20 11:55:38.652040,1765,3,0
100,5,Web,2025-07-05 23:55:38.652040,1312,32,0
101,6,iOS,2025-08-14 09:55:38.652040,1052,12,0
102,6,Web,2025-05-19 07:55:38.652040,1516,34,0
103,6,Android,2025-06-06 14:55:38.652040,1406,28,0
104,6,iOS,2025-08-07 20:55:38.652040,1275,8,0
105,6,Android,2025-06-26 04:55:38.652040,1658,11,0
106,6,Android,2025-07-18 17:55:38.652040,573,19,0
107,6,iOS,2025-07-28 11:55:38.652040,903,25,0
108,6,Web,2025-08-16 17:55:38.652040,75,18,1
109,6,Web,2025-06-27 18:55:38.652040,1006,29,0
110,6,Android,2025-07-01 05:55:38.652040,706,4,0
111,6,Web,2025-06-18 02:55:38.652040,795,24,0
112,6,iOS,2025-06-21 03:55:38.652040,109,4,0
113,6,Android,2025-08-16 01:55:38.652040,413,25,0
114,6,Android,2025-07-17 22:55:38.652040,541,36,0
115,6,Web,2025-06-16 14:55:38.652040,1153,10,0
116,6,Web,2025-06-20 23:55:38.652040,453,34,1
117,6,Android,2025-06-30 10:55:38.652040,1579,13,0
118,6,Android,2025-08-09 05:55:38.652040,1565,45,0
119,6,iOS,2025-06-20 17:55:38.652040,786,28,0
120,6,Web,2025-05-19 18:55:38.652040,857,34,0
121,7,Web,2025-08-10 21:55:38.652040,1616,7,0
122,7,iOS,2025-05-31 04:55:38.652040,1046,43,0
123,7,Web,2025-07-02 01:55:38.652040,1577,48,0
124,7,Android,2025-06-04 01:55:38.652040,1257,22,0
125,7,iOS,2025-06-06 15:55:38.652040,476,14,0
126,7,Android,2025-05-30 19:55:38.652040,448,44,1
127,7,Web,2025-06-20 07:55:38.652040,303,5,0
128,7,iOS,2025-06-13 01:55:38.652040,1386,43,0
129,7,iOS,2025-07-08 06:55:38.652040,1174,22,0
130,7,Web,2025-06-28 18:55:38.652040,764,49,0
131,7,iOS,2025-07-18 00:55:38.652040,772,40,0
132,7,iOS,2025-08-12 17:55:38.652040,179,21,1
133,7,Android,2025-06-27 23:55:38.652040,1590,15,0
134,7,iOS,2025-05-19 09:55:38.652040,1438,41,0
135,7,Web,2025-07-18 02:55:38.652040,1653,26,0
136,7,Web,2025-05-21 16:55:38.652040,116,41,1
137,8,Web,2025-06-07 17:55:38.652040,1070,35,0
138,8,iOS,2025-07-21 18:55:38.652040,1137,29,0
139,8,Android,2025-08-15 19:55:38.652040,932,12,0
140,8,Android,2025-08-08 16:55:38.652040,884,30,0
141,8,Android,2025-08-07 20:55:38.652040,526,12,0
142,8,Web,2025-07-30 23:55:38.652040,929,43,0
143,8,Android,2025-08-14 13:55:38.652040,1483,39,0
144,8,Android,2025-07-22 18:55:38.652040,203,35,0
145,8,iOS,2025-07-24 15:55:38.652040,365,34,1
146,8,Android,2025-08-01 03:55:38.652040,520,36,0
147,8,Android,2025-07-04 03:55:38.652040,1107,19,0
148,8,iOS,2025-06-18 21:55:38.652040,313,9,0
149,8,iOS,2025-06-18 06:55:38.652040,871,14,0
150,8,iOS,2025-06-17 09:55:38.652040,319,17,0
151,8,Web,2025-06-15 07:55:38.652040,498,40,0
152,8,Web,2025-05-30 14:55:38.652040,1326,45,0
153,8,Android,2025-07-04 20:55:38.652040,108,6,0
154,8,iOS,2025-06-10 17:55:38.652040,1757,46,0
155,8,iOS,2025-06-24 22:55:38.652040,1619,3,0
156,8,Android,2025-05-18 23:55:38.652040,491,16,0
157,8,iOS,2025-07-07 00:55:38.652040,148,37,0
158,8,Web,2025-07-12 00:55:38.652040,1005,21,0
159,8,Web,2025-05-29 05:55:38.652040,1394,9,0
160,8,iOS,2025-08-08 01:55:38.652040,780,17,0
161,9,iOS,2025-05-28 20:55:38.652040,863,4,0
162,9,Android,2025-05-30 15:55:38.652040,1688,5,0
163,9,iOS,2025-07-18 22:55:38.652040,31,27,1
164,9,Web,2025-05-20 08:55:38.652040,814,19,0
165,9,Android,2025-06-09 00:55:38.652040,830,7,0
166,9,Android,2025-08-03 12:55:38.652040,1079,10,1
167,9,Android,2025-07-27 12:55:38.652040,336,47,1
168,9,Web,2025-06-14 21:55:38.652040,1179,20,0
169,9,Android,2025-06-10 06:55:38.652040,871,32,0
170,9,Android,2025-06-27 09:55:38.652040,1547,18,0
171,9,Android,2025-08-02 10:55:38.652040,1041,20,0
172,9,Android,2025-05-31 14:55:38.652040,1347,20,1
173,9,Android,2025-06-17 00:55:38.652040,1003,10,0
174,9,Web,2025-07-13 21:55:38.652040,967,13,0
175,9,iOS,2025-07-26 12:55:38.652040,292,42,0
176,10,Android,2025-06-08 22:55:38.652040,636,29,0
177,10,Web,2025-08-06 23:55:38.652040,1644,26,0
178,10,iOS,2025-07-19 02:55:38.652040,395,7,0
179,10,Web,2025-07-02 00:55:38.652040,1511,46,0
180,10,iOS,2025-07-16 20:55:38.652040,1785,23,0
181,10,iOS,2025-06-11 18:55:38.652040,1583,33,1
182,10,iOS,2025-05-21 00:55:38.652040,1016,9,0
183,10,iOS,2025-07-25 04:55:38.652040,1236,3,0
184,10,Web,2025-07-27 15:55:38.652040,1094,46,0
185,10,iOS,2025-07-30 16:55:38.652040,1292,28,0
186,10,Android,2025-07-29 17:55:38.652040,83,7,0
187,10,Android,2025-06-20 23:55:38.652040,312,18,0
188,10,iOS,2025-07-22 01:55:38.652040,220,37,0
189,10,iOS,2025-05-29 18:55:38.652040,1684,14,0
190,10,iOS,2025-06-04 13:55:38.652040,1550,32,1
191,10,Web,2025-05-25 03:55:38.652040,141,11,0
192,10,Android,2025-08-12 14:55:38.652040,1282,38,0
193,10,Android,2025-06-22 19:55:38.652040,1734,16,0
194,11,Web,2025-08-05 17:55:38.652040,1795,38,0
195,11,Web,2025-07-08 10:55:38.652040,1308,46,0
196,11,Web,2025-08-08 18:55:38.652040,474,7,1
197,11,Android,2025-06-26 11:55:38.652040,1357,37,1
198,11,iOS,2025-06-24 23:55:38.652040,345,24,0
199,11,iOS,2025-06-21 17:55:38.652040,181,19,0
200,11,Android,2025-05-27 04:55:38.652040,56,12,0
201,11,iOS,2025-05-19 01:55:38.652040,1234,5,0
202,11,iOS,2025-08-01 20:55:38.652040,660,34,0
203,11,Web,2025-08-02 12:55:38.652040,631,36,0
204,11,Web,2025-07-29 22:55:38.652040,1209,36,0
205,11,iOS,2025-05-26 19:55:38.652040,1187,25,0
206,11,iOS,2025-06-04 22:55:38.652040,1531,9,1
207,11,Android,2025-07-04 20:55:38.652040,1518,28,1
208,11,iOS,2025-06-01 16:55:38.652040,1544,47,0
209,11,iOS,2025-07-22 01:55:38.652040,1662,33,0
210,12,Web,2025-08-16 22:55:38.652040,757,36,0
211,12,Web,2025-07-24 01:55:38.652040,1121,27,1
212,12,Web,2025-07-03 08:55:38.652040,1502,23,1
213,12,iOS,2025-05-21 08:55:38.652040,1630,32,0
214,12,Web,2025-05-30 01:55:38.652040,459,31,0
215,12,iOS,2025-05-27 08:55:38.652040,1005,26,0
216,12,Web,2025-08-01 00:55:38.652040,422,44,0
217,12,Android,2025-05-22 11:55:38.652040,1122,21,0
218,12,Android,2025-08-06 19:55:38.652040,48,45,1
219,12,iOS,2025-07-01 07:55:38.652040,889,48,0
220,12,Web,2025-05-30 01:55:38.652040,807,16,0
221,12,iOS,2025-06-16 19:55:38.652040,891,33,1
222,12,Android,2025-07-01 15:55:38.652040,151,11,0
223,12,iOS,2025-05-21 22:55:38.652040,1498,41,0
224,12,iOS,2025-08-15 06:55:38.652040,1710,30,0
225,12,Web,2025-07-15 04:55:38.652040,529,15,0
226,12,Web,2025-05-23 14:55:38.652040,819,27,0
227,12,iOS,2025-07-04 15:55:38.652040,817,36,0
228,12,Android,2025-07-02 16:55:38.652040,1215,21,0
229,12,Web,2025-06-19 14:55:38.652040,585,6,0
230,12,Web,2025-05-28 17:55:38.652040,1317,6,0
231,12,Android,2025-06-17 23:55:38.652040,1000,46,0
232,12,iOS,2025-08-10 10:55:38.652040,925,44,0
233,12,Web,2025-08-09 16:55:38.652040,237,20,1
234,13,iOS,2025-06-20 09:55:38.652040,192,9,0
235,13,Android,2025-08-04 21:55:38.652040,590,16,1
236,13,Web,2025-06-01 01:55:38.652040,1790,11,1
237,13,Web,2025-08-03 12:55:38.652040,998,7,0
238,13,Android,2025-07-02 07:55:38.652040,465,7,0
239,13,Web,2025-06-03 14:55:38.652040,616,3,0
240,13,Android,2025-06-04 08:55:38.652040,379,40,0
241,13,iOS,2025-05-26 13:55:38.652040,931,23,0
242,13,Android,2025-07-01 18:55:38.652040,1649,41,1
